Question	Answer	Tags	Created
"ReAct 三元组 Thought/Action/Observation 分别是什么? (工程视角)"	"• Thought = LLM 主动推理输出 (决定下一步)\n• Action = LLM 输出的结构化工具调用\n• Observation = 工具执行的原始返回, 原样塞回 context\n\n关键: Observation 是【被动接受】, 不加工\n\n对比: 微服务里 orchestrator 收到 service 返回值, 直接进下一步; 不会先找'解读员'翻译"	M1 ReAct core	2026-07-15
"为什么 ReAct 循环中 Observation 不能让 LLM 先 interpret 再塞 context?"	"3 个致命理由:\n\n1. 信息损失: JSON 里的字段被总结掉\n2. 幻觉入口: 每轮多 1 次 LLM 调用 = 多 1 次瞎编机会\n3. 成本翻倍: 4 轮从 4 次调用变 8 次\n\n更深原因: 破坏 Faithfulness (忠实性)\n→ 后续推理建在失真数据上\n→ 错误指数级放大 (agent 幻觉复合)\n\n类比: 数据库返回 uin='00123', LLM 总结成 123 → 下一步查询语义完全变了"	M1 ReAct pitfall faithfulness	2026-07-15
"ReAct 论文的一句话本质? 相比纯 CoT 强在哪?"	"本质: ReAct = 让 LLM 从'一口气回答'变成'边想边查边答'的循环协议\n\n相比 CoT 强在:\n• CoT 的推理原料 = 训练时刻的旧知识 (静态, 会瞎编)\n• ReAct 的推理原料 = 每轮 tool 返回的实时数据 (动态, 复利叠加)\n\n心智模型: 复利\n轮次 1→2→3→4, context 信息量 10%→30%→70%→95%\n\n关键辨别: 没有外部工具就不是 ReAct, 只是 CoT"	M1 ReAct definition CoT	2026-07-15
"Tool Calling 的 4 种消息 role 是什么? 各自作用?"	"OpenAI 协议 4 种 role:\n\n• system   = 系统 prompt (agent 人设/规则)\n• user     = 用户输入 或 【工具返回结果 (Anthropic 用这个)】\n• assistant= LLM 输出 (可能含 content + tool_calls)\n• tool     = 工具执行结果 【OpenAI 专用】, 必须带 tool_call_id\n\n关键: 每轮 LLM 决策后必须把 assistant 消息回填到 context\n     (含 tool_calls 字段) 否则 LLM 下一轮不记得自己想调工具"	M1 tool-calling protocol	2026-07-15
"tool_call_id 是干什么的? 用一个类比讲清"	"tool_call_id = LLM 世界的 request_id, 用于关联请求和响应\n\n场景: LLM 一次可能调 N 个工具 (batch tool_calls)\n     并发执行 → 返回顺序 ≠ 发起顺序\n     → 靠 id 反向映射谁是谁的结果\n\n类比: 广告归因批量拉 100 个用户状态\n     响应回来顺序乱了, 靠 user_id 拼装\n     tool_call_id 就是 agent 版的 user_id\n\n元原则: 【无状态协议 · 必须靠 id 关联】\n       跨 agent/tool/service 边界的所有异步通信都遵循这个"	M1 tool-calling id-correlation	2026-07-15
"JSON Schema 在 Tool Calling 里的作用是什么?"	"JSON Schema = LLM 和你的代码之间的【合同】\n\n作用:\n1. 告诉 LLM 该传什么参数, 参数类型\n2. required 字段强制必填\n3. LLM 会按 schema 生成 tool_call, 你按 schema 校验\n\n没 schema 的后果:\n• LLM 乱传参 (city vs city_name vs 中文名?)\n• 类型不对 (int vs str, Type Drift 又来了)\n• 缺参数 → 工具报错 → agent 崩\n\n最佳实践: description 越具体越好, 因为 LLM 靠它判断'什么时候用这个工具'"	M1 tool-calling schema	2026-07-15
"OpenAI 和 Anthropic 的 tool result 消息格式差异?"	"两家协议本质一样但 role 定义不同:\n\nOpenAI:\n  {'role': 'tool', 'tool_call_id': 'call_x', 'content': '...'}\n  ↑ 专门的 'tool' role\n\nAnthropic:\n  {'role': 'user', 'content': [{\n     'type': 'tool_result',\n     'tool_use_id': 'toolu_x',\n     'content': '...'\n  }]}\n  ↑ 用 'user' role, 内容用结构化 block\n\n工程含义: 切换 provider 时需要转换层\n         (M2 手写 runtime 时会做这个抽象)"	M1 tool-calling provider-diff	2026-07-15
"元原则: 什么时候必须用 id 关联?"	"【无状态协议 · 必须靠 id 关联】\n\n只要通信双方【不共享内存】, 就必须有 id 来:\n• 关联请求 ↔ 响应\n• 标识数据属于哪个上下文\n\n Agent 世界的 id 层级:\n• tool_call_id  → LLM 和工具的边界\n• task_id       → orchestrator 和 worker 的边界\n• session_id    → 对话和存储的边界\n• trace_id      → 监控和排障的边界\n\n康威定律引申: 好的 agent 架构 = id 层级清晰的架构\n\n锚点: 广告归因批量拉用户状态靠 user_id 关联, 同构"	M1 meta-principle id-correlation	2026-07-15
"为什么 OpenAI tools.parameters.type 强制为 object? 能不能用 string?"	"不能。原因 3 层:\n\n1. JSON Schema 标准惯性: OpenAI 完整遵循 jsonschema 规范\n2. 工程稳定性: 保证 LLM 输出的 arguments 永远是 JSON object,\n   你的代码可以用 **kwargs 展开, 不需要分支判断\n3. 扩展性: 未来 type 可以从 object 扩展到其他类型,\n   不需要改协议格式\n\n反例: Anthropic 省了 type, 但他们的 schema 不是标准 jsonschema,\n      不能直接用 jsonschema 库校验\n\n深层理解: 协议的冗余 ≠ 废话, 冗余 = 稳定性\n类比: HTTP 每次写 Content-Type, 你'知道'是 JSON, 但协议要求声明"	M1 tool-calling schema-design	2026-07-15
"Structured Output (L3/L4) 是怎么做到的? 为什么在 Agent 里它是基础设施?""L3 (OpenAI strict:true): \nJSON Schema → 编译成状态机 → 每生成一个 token 先过滤 → 只允许语法合法的 token → 数学保证 100% 合法。\n\n这不是 prompt engineering, 是 constrained decoding (约束解码), 由 LLM 推理引擎在内部完成。Agent 代码只是传了一个参数。\n\n为什么是基础设施:\nAgent 成功率 = (单轮成功率)^轮次\nL1 \"请输出JSON\" = 95% → 15轮 = 46%\nL3 strict = 100% → 永不因格式崩\n串行依赖放大了单轮的脆弱性。"\tM1 structured-output\t2026-07-16\n"Agent 崩溃的三层兜底是什么?""① Prompt层: \"请输出JSON\" (L1, 成本0, 可靠性~95%)\n② API层: strict:true + JSON Schema (L3, 数学保证100%)\n③ 代码层: try/except json.loads() + 错误 feedback 塞回 context\n        (把 Agent 崩盘降级为单轮失败+自动恢复)\n\n为什么需要③: 本地模型可能没有 constrained decoding, 或 API 不支持 strict mode。代码层是最后一道保险。"\tM1 structured-output defense-layers\t2026-07-16\n"Anthropic Agent 架构的 5 个级别是什么? 核心判断流程?""级别 0: 纯 Prompt (无工具无流程)\n级别 1: Prompt Chaining (固定串联)\n级别 2: Routing (分类分发, LLM只做分类)\n级别 3: Parallelization (并行→汇总)\n────── Workflow / Agent 分界线 ──────\n级别 4: Orchestrator-Workers (一个 LLM 自主调工具)\n级别 5: Multi-Agent (多个 LLM 互相通信)\n\n核心判断:\n能纯 Prompt? → 0\n流程固定? → 1/2/3 (Workflow)\n单 LLM 够? → 4 (Agent)\n需要多个 LLM? → 5\n\n关键辨别: 流程由【代码】控制 = Workflow (0-3); 流程由【LLM】自主决定 = Agent (4-5)"\tM1 agent-architecture\t2026-07-16\n"Routing (级别2) 和 Agent (级别4) 的本质区别? 用一个例子讲清""Routing: LLM 是【收费站的分类员】, 分类完后面的路由代码定\n  例: 用户说'退款'→ 分类→ 走退款流程 (代码写死)\n\nAgent: LLM 是【驾驶员】, 自己决定每一步往哪开\n  例: debug 未知故障 → 查日志 → 发现异常 → 决定查配置 → 发现不对 → 查代码\n\n本质: 谁控制流程?\n  代码控制 = Workflow (含 Routing)\n  LLM 控制 = Agent"\tM1 agent-architecture routing-vs-agent\t2026-07-16\n"CoT / ReAct / Plan-and-Execute 三种 Agent 模式的精确区别? 给一张对比表 + 决策树""CoT = 纯推理，零工具调用，一口气把思考链写完。\nReAct = 边想边做，每轮 Thought→Action→Observation 交错。\nPlan-and-Execute = 先制定完整计划，再批量执行（不动脑）。\n\n对比:\n| | CoT | ReAct | Plan |\n|---|---|---|---|\n| 工具 | 无 | 交错调用 | 批量调用 |\n| 推理时机 | 全部在前 | 穿插 | 全部在前 |\n| 依赖链 | 无外部依赖 | 强依赖(前一步→后一步) | 步骤独立 |\n| 适用 | 纯推理题 | 探索性任务 | 确定性批量任务 |\n\n决策树:\n需要外部信息? → 否 → CoT\n              → 是 → 步骤有依赖? → 是 → ReAct\n                                    → 否 → Plan-and-Execute"\tM1 agent-patterns\t2026-07-16\n"同一个'写文章'任务, 什么情况用 CoT? 什么情况用 Plan-and-Execute? 什么情况用 ReAct?""取决于信息需求结构:\n\n纯脑内知识够用(训练数据覆盖) → CoT\n需查固定清单(市场数据+技术趋势+产品) → Plan-and-Execute (信息源独立可并行)\n探索性, 不知道会查到什么 → ReAct (每轮结果决定下一轮)\n\n关键: 不是任务类型决定模式, 是【信息需求的结构】决定模式"\tM1 agent-patterns decision-boundary\t2026-07-16\n"Tool Calling 的核心权责分离是什么? LLM 负责什么? 你的代码负责什么?"	"LLM 负责: 决策 (选哪个工具 + 传什么参数)\n你的代码负责: 执行 (dispatch + 返回结果)\n\n关键洞察: LLM 输出的 arguments 是【JSON 字符串】,\n       不是 Python dict!\n       → 因为 LLM 输出的是文本, 不是数据结构\n       → 你的责任: json.loads() 解析它\n\n这意味着 LLM 和你代码之间唯一的接口就是【文本】\n→ 这是 LLM Agent 最底层的哲学事实\n\n工程含义: arguments 里 LLM 可能生成非法 JSON\n         → 你需要 try/except json.loads()\n         → M2 手写 runtime 必须处理这个"	M1 tool-calling separation-of-concerns	2026-07-15